AppID,Name,Release date,Estimated owners,Required age,Price,Supported languages,Positive,Negative,Achievements,Recommendations,Average playtime forever,Publishers,Categories,Genres
1476420,ANIME Street Fight,6-Mar-21,0 - 20000,0,1.99,['English'],10,7,10,0,0,Seito Games,"Single-player,Steam Achievements","Action,Adventure,Casual,Indie"
581340,Narborion Saga,20-Mar-17,0 - 20000,0,2.99,['English'],10,11,0,0,19,Liber Primus Games,"Single-player,Multi-player,PvP,Online PvP","Adventure,RPG,Strategy"
1803460,Christmas Wonderland 3,6-Jan-22,0 - 20000,0,6.99,['English'],0,1,0,0,0,Casual Arts,Single-player,"Adventure,Casual,Indie"
1864790,1BITDRAGON,18-Mar-22,0 - 20000,0,20,['English'],82,6,0,0,0,1BITDRAGON,,"Audio Production,Utilities,Game Development"
793680,Fission Superstar X,21-May-19,0 - 20000,0,14.99,"['English', 'French', 'Spanish - Spain']",116,18,33,121,64,Turbo Pelvis 3000 inc.,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV","Action,Indie,RPG"
501300,What Remains of Edith Finch,24-Apr-17,500000 - 1000000,0,19.99,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Italian', 'Korean']",25897,1211,9,24884,150,Annapurna Interactive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","Adventure,Indie"
852570,A Tale of Pirates: a Dummy Mutiny,23-May-18,0 - 20000,0,1.59,"['English', 'Italian', 'Spanish - Spain']",2,1,14,0,0,Cranio Creations,"Single-player,Steam Achievements,Steam Leaderboards","Action,Indie"
1062520,Dinkum,14-Jul-22,200000 - 500000,0,19.99,['English'],2696,145,0,2708,518,James Bendon,"Single-player,Multi-player,Co-op,Online Co-op,Partial Controller Support","Indie,RPG,Simulation,Early Access"
1651760,Japanese Puzzle,14-Jun-21,0 - 20000,0,9.99,"['English', 'Russian']",13,7,0,0,0,Piece Of Voxel,Single-player,"Casual,Indie,Strategy"
1132190,Coloring Game: Little City,16-Aug-19,100000 - 200000,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Vietnamese', 'Greek', 'Danish', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']",882,54,80,0,214,L. Stotch,"Single-player,Steam Achievements,Steam Cloud","Casual,Free to Play,Indie"
874460,Achtung! Cthulhu Tactics,4-Oct-18,0 - 20000,0,24.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",131,57,31,119,103,Ripstone,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV","Action,Indie,RPG,Strategy"
1200740,LoginToShootingRangeInServer00 VR,12-Dec-19,0 - 20000,0,3.99,"['English', 'Simplified Chinese']",0,0,0,0,0,Seafoodcha,Single-player,"Action,Adventure,Indie,Simulation,Sports"
1503180,Elementite,18-Jan-22,20000 - 50000,0,24.99,"['English', 'Simplified Chinese', 'Japanese', 'Korean', 'Traditional Chinese']",7,5,14,0,0,Mayflower Entertainment,"Single-player,Partial Controller Support","Action,Indie,RPG"
1031570,Hookshot,25-Feb-19,0 - 20000,0,1.99,['English'],10,8,24,0,0,NanningsGames,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Casual,Indie"
1543810,Darker : Episode I,30-Apr-21,0 - 20000,0,0.99,['English'],1,3,0,0,0,Brothar Studios,Single-player,"Adventure,Casual,Indie"
844960,Pro 11 - Football Manager Game,13-Feb-20,50000 - 100000,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Danish', 'Simplified Chinese', 'Greek', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Swedish', 'Turkish']",144,53,0,0,0,Trophy Games,"Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,In-App Purchases","Free to Play,Simulation,Sports,Strategy"
1697830,The Inspector Playtest,19-Jul-21,0 - 0,0,0,[],0,0,0,0,0,,,
